instrument,ID,x0,y0,hyeyun_orientation
E2V,R23_S12,4689.520469024401,-613.4497345694629,4
E2V,R23_S00,-474.4408011238171,-521.3581498790716,1
E2V,R23_S01,-444.40174886513563,-634.6285115411094,1
E2V,R23_S02,-576.8413601704099,-628.5573213955823,1
E2V,R23_S21,-478.0090414521361,-591.7585017449271,1
E2V,R23_S22,-520.6982512574181,-727.8302884601297,1
E2V,R23_S10,-416.5476989197163,-533.8058431427437,1
E2V,R23_S11,4620.70344440495,-651.29758459555,4
E2V,R23_S20,-428.012059957935,-636.3022037727818,1
E2V,R14_S12,-441.0321526478613,-571.7177904086077,1
E2V,R14_S00,4606.923357673218,-520.1914486113706,4
E2V,R14_S01,-177.86836664505904,-416.6274661746474,1
E2V,R14_S02,-351.0051242230478,-537.0705270810383,1
E2V,R14_S21,4615.254710561611,-532.2106006741503,4
E2V,R14_S22,4649.1985965094345,-559.3013345472201,4
E2V,R14_S10,-537.8169057147261,-641.13033318056,1
E2V,R14_S11,-377.4180652911252,-614.4178947524855,1
E2V,R14_S20,-575.9711717793739,-566.8351900834017,1
E2V,R31_S12,-614.1438151382856,4493.752387204239,2
E2V,R31_S00,4601.213662349821,-499.55246637249394,4
E2V,R31_S01,-505.25244524442246,-593.7692982130475,1
E2V,R31_S02,4528.690054505152,-551.6989941645832,4
E2V,R31_S21,-464.73496281513053,-543.330886868493,1
E2V,R31_S22,-462.9006186532498,-465.7054301653465,1
E2V,R31_S10,4715.647982407026,-595.9497898249836,4
E2V,R31_S11,4685.194857184391,-622.530305754486,4
E2V,R31_S20,4654.293970256939,-608.5447825393784,4
E2V,R34_S12,4519.741650202665,4238.094148451125,3
E2V,R34_S00,-433.82562369782426,-550.8344487411355,1
E2V,R34_S01,-576.5601091348826,4587.731396161171,2
E2V,R34_S02,4674.695756033261,-546.0207613462798,4
E2V,R34_S21,4658.565448920715,-542.5215540687784,4
E2V,R34_S22,nan,nan,4
E2V,R34_S10,nan,nan,4
E2V,R34_S11,-408.1640255110587,-582.6142278802502,1
E2V,R34_S20,4748.122129844249,-661.808180663118,4
E2V,R12_S12,-498.28482561419065,-592.3888280424517,1
E2V,R12_S00,-461.02015133962004,-649.9279097886063,1
E2V,R12_S01,nan,nan,1
E2V,R12_S02,4611.35665972352,4449.798656152684,3
E2V,R12_S21,-510.40106465569954,-594.9957840904807,1
E2V,R12_S22,-395.53282152268963,-547.2003239930932,1
E2V,R12_S10,-375.20449274286597,-571.6915742156024,1
E2V,R12_S11,4609.957903490291,-620.6689211369805,4
E2V,R12_S20,-375.82037817326074,-583.0636808212869,1
E2V,R33_S12,4683.085686169212,4539.041878519817,3
E2V,R33_S00,-463.16196045302416,-547.8739768558588,1
E2V,R33_S01,nan,nan,1
E2V,R33_S02,4453.542071155427,-558.4890882350012,4
E2V,R33_S21,4283.9115102789965,-46.99695999890156,4
E2V,R33_S22,4501.686608602613,-579.9497641514747,4
E2V,R33_S10,-432.1006880741029,-584.0676356594113,1
E2V,R33_S11,4514.531704174028,-541.9656945548105,4
E2V,R33_S20,4552.969277122246,4444.472354717516,3
ITL,R01_S12,4204.629160189283,4175.854376444461,3
ITL,R01_S00,-354.1674463965167,4240.9736059075085,2
ITL,R01_S01,4209.77548003803,-387.0120010775398,4
ITL,R01_S02,-273.83046847235266,-287.2314970707116,1
ITL,R01_S21,4281.260646780948,4218.0526244210205,3
ITL,R01_S22,4227.918831347927,4089.281461458806,3
ITL,R01_S10,nan,nan,3
ITL,R01_S11,4266.1487084920345,4240.069487214333,3
ITL,R01_S20,-184.95245462881113,4300.149396227187,2
E2V,R30_S12,-365.09904608063357,-571.0134275135613,1
E2V,R30_S00,4557.379200510445,-589.0854864896965,4
E2V,R30_S01,-524.3968052533844,-558.7973034953974,1
E2V,R30_S02,-423.56578254512254,-621.4385850572022,1
E2V,R30_S21,4519.854950882172,-552.8673695582213,4
E2V,R30_S22,-422.93911190120053,4544.32723234917,2
E2V,R30_S10,-271.96666752708404,-523.7799441923539,1
E2V,R30_S11,-306.9559457215023,-494.0793740191845,1
E2V,R30_S20,4696.546421339408,-597.1342877503054,4
ITL,R02_S12,4299.656039589013,-328.0532173148307,4
ITL,R02_S00,4170.110698785279,-376.1308774399865,4
ITL,R02_S01,4158.135314249249,4098.9575007264775,3
ITL,R02_S02,-324.0800790107512,4087.6567781200033,2
ITL,R02_S21,4208.643581560474,4079.204843150917,3
ITL,R02_S22,4290.091616684234,4276.724446916707,3
ITL,R02_S10,-182.00955029746183,-47.689531278984646,1
ITL,R02_S11,-341.7222042590527,-408.5743945795471,1
ITL,R02_S20,-191.21840741432231,-191.80338070277685,1
ITL,R20_S12,4314.14033944985,4263.979263854925,3
ITL,R20_S00,-217.99606053377,-254.27776487216556,1
ITL,R20_S01,4393.896991614495,4321.85342800776,3
ITL,R20_S02,-131.58804508366495,4289.687099373252,2
ITL,R20_S21,-264.4402134683294,4118.183715265605,2
ITL,R20_S22,4140.467659757468,-353.13933220205644,4
ITL,R20_S10,4390.913777893642,-194.01895326833005,4
ITL,R20_S11,4348.443153029972,4330.378297107742,3
ITL,R20_S20,4259.235042653313,-200.39898116838538,4
E2V,R32_S12,4697.757525953265,-648.7848232908602,4
E2V,R32_S00,4422.986295724266,-347.74276698126255,4
E2V,R32_S01,-364.8377581911101,-575.8535354095629,1
E2V,R32_S02,4615.485363412869,-654.3991773210877,4
E2V,R32_S21,4529.292496354769,-556.6852427361823,4
E2V,R32_S22,4573.229702373178,-586.0992196103572,4
E2V,R32_S10,4708.714003445216,-611.5527235036666,4
E2V,R32_S11,4474.6019672085995,-627.8404528668952,4
E2V,R32_S20,4679.16731477622,-602.749191967672,4
E2V,R24_S12,4445.279296773771,-567.3449562952708,4
E2V,R24_S00,4664.15142276972,4487.3635122962705,3
E2V,R24_S01,-512.5907404116176,-590.647387301677,1
E2V,R24_S02,-575.6020378615709,-597.7152185614895,1
E2V,R24_S21,4423.709015363926,-580.5875831511785,4
E2V,R24_S22,-360.51682686988437,4404.253912430946,2
E2V,R24_S10,-436.3175524842701,-541.7234500212462,1
E2V,R24_S11,4507.4783013883525,-612.5273719460861,4
E2V,R24_S20,4426.311754639449,-561.0278708655118,4
ITL,R03_S12,4252.798925306848,4284.216153618489,3
ITL,R03_S00,-111.32883646143557,-145.90829626283653,1
ITL,R03_S01,4238.056591213536,-418.1692635940335,4
ITL,R03_S02,4244.8625651276325,4111.186085798486,3
ITL,R03_S21,4191.270566063817,-316.8918489373583,4
ITL,R03_S22,4206.625408056172,4132.904697795908,3
ITL,R03_S10,4160.71750333487,-367.9846793288416,4
ITL,R03_S11,4170.321681027503,-372.58737223930234,4
ITL,R03_S20,4418.198132802525,4282.652639662195,3
ITL,R42_S12,-110.214222729212,4236.735512937083,2
ITL,R42_S00,-254.01248906797878,-211.72437277378503,1
ITL,R42_S01,-163.14973343685233,-169.93261033132217,1
ITL,R42_S02,4269.402051657867,-280.47352740466954,4
ITL,R42_S21,4344.278711115336,4329.906780510945,3
ITL,R42_S22,-168.2010215885482,-185.43315551303954,1
ITL,R42_S10,-143.6261107461371,4351.786007405983,2
ITL,R42_S11,-103.74465550241098,4306.700848311772,2
ITL,R42_S20,-305.9434817355809,4151.809539361428,2
E2V,R13_S12,-527.2279702305739,-638.6818153169431,1
E2V,R13_S00,4490.873039344917,4419.25752493703,3
E2V,R13_S01,-384.14406044517654,-607.8676679759548,1
E2V,R13_S02,-439.62417214691936,-659.6518556207972,1
E2V,R13_S21,4485.040794827626,-628.8198175111224,4
E2V,R13_S22,4753.215161703486,-631.3026793908613,4
E2V,R13_S10,4605.681525626251,-603.9640155541825,4
E2V,R13_S11,4582.034216371869,-582.3484299184425,4
E2V,R13_S20,4489.1290345455645,-609.063032179829,4
E2V,R11_S12,-511.01142054901334,-616.1050082562225,1
E2V,R11_S00,4477.023135714811,4442.3069001005115,3
E2V,R11_S01,-628.7625858865786,-654.7866968550782,1
E2V,R11_S02,4400.429964878259,-261.7744131257982,4
E2V,R11_S21,4632.140253401977,-656.071699148886,4
E2V,R11_S22,-381.6598436616095,-455.40156372064973,1
E2V,R11_S10,-547.9463449024677,-688.2791814163752,1
E2V,R11_S11,4616.71165034853,-686.916514101003,4
E2V,R11_S20,-487.45633111810383,-658.6265242437742,1
ITL,R41_S12,-477.42772231769044,-742.0401236195156,1
ITL,R41_S00,4433.344961853176,4367.535326978164,3
ITL,R41_S01,-158.2346350289581,-243.54192418095442,1
ITL,R41_S02,4362.151610756357,-164.44401252025727,4
ITL,R41_S21,-257.707627246034,-228.68679782151207,1
ITL,R41_S22,4253.753775418925,-313.008153703692,4
ITL,R41_S10,-105.9418991810395,-129.25240866122522,1
ITL,R41_S11,4250.4987836392675,4109.383209174697,3
ITL,R41_S20,-278.4607512190253,-367.0638724169536,1
ITL,R43_S12,-81.81591516870344,4262.695678850547,2
ITL,R43_S00,-96.7156003704655,4294.899597355996,2
ITL,R43_S01,-68.95361291689846,-152.35635710092197,1
ITL,R43_S02,-276.19341957017946,4128.035714198706,2
ITL,R43_S21,4346.058257002838,4242.726402588594,3
ITL,R43_S22,4337.541518880427,4248.667774061975,3
ITL,R43_S10,-238.6235558214961,-313.01551469831867,1
ITL,R43_S11,4281.254155850924,-293.4567828784555,4
ITL,R43_S20,-199.33795799210634,-310.3974030538009,1
ITL,R10_S12,-262.4434006682169,4081.958268448112,2
ITL,R10_S00,4422.740253315237,4370.302954782531,3
ITL,R10_S01,4212.970951208419,-356.09387224703187,4
ITL,R10_S02,-161.29290061471306,4127.225180460726,2
ITL,R10_S21,4279.198913336252,-242.93481039520918,4
ITL,R10_S22,4180.6774700103615,-414.3796600777877,4
ITL,R10_S10,4405.585905906841,-360.6153142237343,4
ITL,R10_S11,4169.120273435287,-252.327733368198,4
ITL,R10_S20,4293.336613803709,4262.0913155182025,3
E2V,R22_S12,-371.1442319797063,4411.047737357079,2
E2V,R22_S00,-383.0249580214284,-608.7848299764188,1
E2V,R22_S01,-445.50756830925434,-559.7844647731922,1
E2V,R22_S02,-411.0770878870042,4446.940668978629,2
E2V,R22_S21,-471.7540297680788,-574.1557168966654,1
E2V,R22_S22,4587.104612901858,-461.31458908835157,4
E2V,R22_S10,4491.693800870816,-649.3737671181211,4
E2V,R22_S11,4658.717879096594,-667.6449043070537,4
E2V,R22_S20,4594.451934971142,-428.61888588441025,4
E2V,R21_S00,4440.79128381036,-474.2175736470633,4
E2V,R21_S01,4710.340265153169,-693.83959633326,4
E2V,R21_S02,-367.6413592695691,-543.6297027459309,1
E2V,R21_S10,4518.936424402661,-562.1596633264985,4
E2V,R21_S11,-410.46770033335207,4484.032786368651,2
E2V,R21_S12,-490.3399404586471,-422.2661967961779,1
E2V,R21_S20,4477.58008236872,-482.0208929000066,4
E2V,R21_S21,4439.981878186186,-491.4676406106924,4
E2V,R21_S22,-548.5740697658395,-619.4697427445656,1
